,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MB 100, POBLACION TOTAL , VIVIENDAS TOTALES ,% POBREZA TOTAL,POBLACION POBREZA TOTAL, % POBREZA EXTREMA , POBLACION POBREZA EXTREMA , % REZAGO EDUCATIVO , POBLACION REZAGO EDUCATIVO , % CARENCIA POR ACCESO A LOS SERVICIOS DE SALUD , POBLACION CARENCIA POR ACCESO A LOS SERVICIOS DE SALUD , % CARENCIA POR ACCESO A LA SEGURIDAD SOCIAL , POBLACION CARENCIA POR ACCESO A LA SEGURIDAD SOCIAL , % CARENCIA POR CALIDAD Y ESPACIOS EN LA VIVIENDA , POBLACION CARENCIA POR CALIDAD Y ESPACIOS EN LA VIVIENDA , % CARENCIA POR SERVICIOS BÁSICOS EN LA VIVIENDA , POBLACION CARENCIA POR SERVICIOS BÁSICOS EN LA VIVIENDA , % CARENCIA POR ACCESO A LA ALIMENTACION , POBLACION CARENCIA POR ACCESO A LA ALIMENTACION , % Población con ingreso inferior a la línea de pobreza por ingresos , Población con ingreso inferior a la línea de pobreza por ingresos , % Población con ingreso inferior a la línea de pobreza extrema por ingresos , Población con ingreso inferior a la línea de pobreza extrema por ingresos , GRADO DE REZAGO SOCIAL , %Población de 15 años o más analfabeta , % Población de 6 a 14 años que no asiste a la escuela , % Población de 15 años y más con educación básica incompleta , % Población sin derechohabiencia a servicios de salud , % Viviendas con piso de tierra , % Viviendas que no disponen de excusado o sanitario , % Viviendas que no disponen de agua entubada de la red pública , % Viviendas que no disponen de drenaje , % Viviendas que no disponen de energía eléctrica , % Viviendas que no disponen de lavadora , % Viviendas que no disponen de refrigerador , GRADO DE MARGINACION , % Población de 15 años o más analfabeta  , % Población  de 15 años o más sin educación básica , % Ocupantes en viviendas particulares sin drenaje ni excusado , % Ocupantes en viviendas particulares sin energía eléctrica , % Ocupantes en viviendas particulares sin agua entubada , % Ocupantes en viviendas particulares con piso de tierra , % Viviendas particulares con hacinamiento , % Población en localidades con menos de 5 000 habitantes , % Población ocupada con ingresos menores a 2 salarios mínimos , % VIVIENDAS CON PAREDES DE MATERIALES ENDEBLES , % VIVIENDAS CON TECHOS DE MATERIALES ENDEBLES , FAISMUN 2023 
20337,San Pedro y San Pablo Ayutla,NO," 5,616 "," 1,588 ", 80.2 ," 4,504 ", 34.83 ," 1,957 ", 43.91 ," 2,467 ", 27.41 ," 1,540 ", 75.57 ," 4,246 ", 39.03 ," 2,193 ", 64.54 ," 3,626 ", 21.76 ," 1,223 ", 82.32 ," 4,625 ", 50.19 ," 2,820 ",Muy alto, 35.82 , 9.07 , 64.72 , 27.49 , 34.89 , 3.59 , 8.44 , 19.40 , 4.28 , 76.57 , 56.74 ,Muy alto, 35.9 , 64.8 , 2.3 , 3.8 , 7.9 , 32.4 , 23.0 , 100.0 , 89.0 , 3.08 , 0.63 ," 25,372,084 "
20338,Villa de Etla,NO," 10,361 "," 2,683 ", 36.5 ," 4,022 ", 8.29 , 913 , 12.90 ," 1,421 ", 50.76 ," 5,594 ", 63.91 ," 7,043 ", 12.79 ," 1,409 ", 26.11 ," 2,878 ", 17.33 ," 1,910 ", 39.15 ," 4,314 ", 13.76 ," 1,517 ",Muy bajo, 3.22 , 4.00 , 28.23 , 36.97 , 5.37 , 0.67 , 12.11 , 5.74 , 1.23 , 30.34 , 11.33 ,Muy bajo, 3.2 , 28.3 , 0.3 , 1.1 , 12.5 , 5.8 , 20.8 , 22.8 , 67.8 , 6.48 , 0.68 ," 9,054,971 "
20339,San Pedro y San Pablo Teposcolula,NO," 4,353 "," 1,224 ", 48.7 ," 2,121 ", 7.39 , 322 , 15.79 , 688 , 18.12 , 789 , 67.59 ," 2,943 ", 12.14 , 529 , 34.26 ," 1,492 ", 14.83 , 646 , 51.85 ," 2,258 ", 19.39 , 844 ,Bajo, 3.59 , 1.92 , 37.27 , 19.89 , 6.29 , 1.39 , 3.68 , 18.79 , 1.88 , 40.69 , 29.08 ,Bajo, 3.6 , 37.3 , 0.8 , 1.3 , 3.3 , 5.7 , 23.2 , 100.0 , 77.4 , 3.10 , 0.08 ," 6,269,643 "
20340,San Pedro y San Pablo Tequixtepec,NO," 1,747 ", 613 , 79.9 ," 1,396 ", 24.41 , 427 , 28.90 , 505 , 20.77 , 363 , 60.71 ," 1,061 ", 17.27 , 302 , 59.11 ," 1,033 ", 25.40 , 444 , 85.18 ," 1,489 ", 52.44 , 917 ,Medio, 8.53 , 8.07 , 54.73 , 20.61 , 9.62 , 4.57 , 4.40 , 9.62 , 3.43 , 56.28 , 31.97 ,Medio, 8.6 , 54.9 , 3.7 , 3.0 , 4.1 , 10.0 , 21.4 , 100.0 , 96.6 , 1.96 , 0.16 ," 5,349,722 "
20341,San Pedro Yucunama,NO, 241 , 73 , 78.0 , 188 , 14.74 , 36 , 22.65 , 55 , 18.38 , 44 , 82.91 , 200 , 20.09 , 48 , 41.03 , 99 , 18.80 , 45 , 79.30 , 191 , 37.84 , 91 ,Medio, 3.72 , -   , 51.60 , 19.50 , 16.44 , 6.85 , 4.11 , 13.70 , 6.85 , 39.73 , 38.36 ,Medio, 3.7 , 51.6 , 2.9 , 3.7 , 2.9 , 12.0 , 23.3 , 100.0 , 92.6 , 4.35 , 1.45 ," 1,676,886 "
20342,San Raymundo Jalpan,NO," 4,105 "," 1,291 ", 20.4 , 836 , 2.89 , 119 , 10.97 , 451 , 26.66 ," 1,095 ", 51.04 ," 2,096 ", 18.27 , 750 , 27.98 ," 1,149 ", 14.47 , 594 , 21.37 , 878 , 4.63 , 190 ,Muy bajo, 1.89 , 2.12 , 24.34 , 29.21 , 9.22 , 0.93 , 6.27 , 5.19 , 0.85 , 40.67 , 13.94 ,Muy bajo, 1.9 , 24.4 , 0.6 , 1.0 , 6.7 , 10.7 , 16.4 , 100.0 , 61.6 , 8.77 , 0.16 ," 3,888,680 "
20343,San Sebastián Abasolo,NO," 1,999 ", 568 , 60.3 ," 1,205 ", 15.14 , 303 , 21.12 , 422 , 42.19 , 844 , 73.88 ," 1,478 ", 21.27 , 425 , 56.75 ," 1,135 ", 21.22 , 424 , 62.20 ," 1,244 ", 23.54 , 471 ,Bajo, 3.45 , 4.69 , 58.48 , 43.02 , 10.04 , 1.94 , 3.87 , 41.37 , 1.76 , 43.31 , 18.13 ,Medio, 3.5 , 58.5 , 0.8 , 1.5 , 3.8 , 9.6 , 27.7 , 100.0 , 87.6 , 5.80 , 1.76 ," 4,423,797 "
20344,San Sebastián Coatlán,NO," 2,809 ", 808 , 88.5 ," 2,487 ", 36.87 ," 1,036 ", 32.43 , 911 , 18.52 , 520 , 86.96 ," 2,444 ", 18.74 , 526 , 82.72 ," 2,325 ", 45.51 ," 1,279 ", 89.25 ," 2,508 ", 53.56 ," 1,505 ",Alto, 10.84 , 4.08 , 56.49 , 18.62 , 9.16 , 3.22 , 19.43 , 30.69 , 1.98 , 82.05 , 59.53 ,Alto, 10.8 , 56.5 , 1.8 , 1.7 , 21.1 , 9.7 , 36.4 , 100.0 , 95.9 , 5.32 , 0.74 ," 8,227,272 "
20345,San Sebastián Ixcapa,NO," 4,188 "," 1,210 ", 65.2 ," 2,731 ", 18.28 , 766 , 26.83 ," 1,124 ", 21.65 , 907 , 76.84 ," 3,220 ", 23.79 , 997 , 78.18 ," 3,276 ", 29.80 ," 1,249 ", 65.85 ," 2,759 ", 26.93 ," 1,128 ",Medio, 14.21 , 5.37 , 48.13 , 22.13 , 9.34 , 4.63 , 14.55 , 15.29 , 1.49 , 54.13 , 16.28 ,Alto, 14.2 , 48.2 , 3.7 , 1.2 , 14.6 , 9.5 , 26.5 , 100.0 , 87.2 , 2.23 , 0.66 ," 8,126,122 "
20346,San Sebastián Nicananduta,NO," 1,542 ", 481 , 92.2 ," 1,423 ", 40.79 , 629 , 29.04 , 448 , 16.03 , 247 , 77.27 ," 1,192 ", 14.85 , 229 , 60.91 , 940 , 59.66 , 921 , 93.97 ," 1,450 ", 68.87 ," 1,063 ",Medio, 19.21 , 0.38 , 51.83 , 16.21 , 9.56 , 2.49 , -   , 2.49 , 0.83 , 41.58 , 43.87 ,Alto, 19.2 , 51.9 , 2.0 , 0.9 , -   , 7.9 , 25.6 , 100.0 , 95.1 , 1.87 , 0.21 ," 4,359,890 "
20347,San Sebastián Río Hondo,NO," 4,202 "," 1,007 ", 93.5 ," 3,933 ", 39.43 ," 1,658 ", 24.99 ," 1,051 ", 22.17 , 932 , 89.61 ," 3,767 ", 23.25 , 977 , 89.22 ," 3,751 ", 23.89 ," 1,004 ", 94.12 ," 3,957 ", 67.08 ," 2,820 ",Alto, 8.47 , 4.04 , 49.83 , 22.20 , 11.52 , 1.09 , 3.38 , 87.29 , 1.79 , 73.58 , 77.16 ,Medio, 8.5 , 49.9 , 0.2 , 1.2 , 2.9 , 11.2 , 41.9 , 100.0 , 92.3 , 7.85 , 0.30 ," 14,230,972 "
20348,San Sebastián Tecomaxtlahuaca,NO," 8,192 "," 2,269 ", 75.2 ," 6,160 ", 23.53 ," 1,928 ", 40.74 ," 3,339 ", 35.45 ," 2,906 ", 80.42 ," 6,592 ", 28.64 ," 2,348 ", 55.72 ," 4,566 ", 30.77 ," 2,522 ", 77.56 ," 6,357 ", 37.95 ," 3,111 ",Medio, 18.29 , 5.06 , 62.04 , 33.03 , 18.42 , 5.29 , 4.45 , 18.64 , 2.73 , 63.20 , 45.31 ,Alto, 18.3 , 62.1 , 3.4 , 2.0 , 4.2 , 18.0 , 31.9 , 100.0 , 88.6 , 1.41 , 0.62 ," 21,165,007 "
20349,San Sebastián Teitipac,NO," 2,189 ", 635 , 52.5 ," 1,149 ", 13.30 , 291 , 31.96 , 700 , 54.20 ," 1,187 ", 71.59 ," 1,568 ", 15.87 , 347 , 64.67 ," 1,416 ", 18.13 , 397 , 53.36 ," 1,169 ", 18.20 , 399 ,Medio, 10.58 , 6.19 , 56.64 , 54.50 , 12.60 , 1.73 , 20.16 , 39.53 , 2.36 , 55.43 , 23.15 ,Alto, 10.6 , 56.7 , 1.1 , 1.8 , 20.1 , 11.5 , 18.6 , 100.0 , 86.9 , 5.51 , 0.47 ," 5,072,372 "
20350,San Sebastián Tutla,NO," 16,878 "," 5,027 ", 16.9 ," 3,276 ", 2.07 , 401 , 5.36 ," 1,041 ", 43.26 ," 8,404 ", 49.84 ," 9,683 ", 1.89 , 368 , 4.15 , 806 , 7.37 ," 1,431 ", 20.58 ," 3,998 ", 5.33 ," 1,035 ",Muy bajo, 1.11 , 5.95 , 12.83 , 30.06 , 2.37 , 0.18 , 0.76 , 0.28 , 0.04 , 24.17 , 4.79 ,Muy bajo, 1.1 , 12.9 , 0.0 , 0.1 , 0.9 , 2.9 , 8.6 , 0.3 , 50.1 , 0.97 , -   ," 6,028,763 "
20351,San Simón Almolongas,NO," 2,802 ", 838 , 80.5 ," 2,257 ", 25.63 , 718 , 42.06 ," 1,179 ", 29.80 , 835 , 82.53 ," 2,313 ", 13.24 , 371 , 72.80 ," 2,041 ", 23.00 , 645 , 81.30 ," 2,279 ", 41.04 ," 1,150 ",Medio, 19.85 , 5.46 , 66.83 , 29.94 , 7.52 , 1.55 , 2.39 , 46.42 , 2.63 , 71.60 , 25.78 ,Alto, 19.9 , 66.8 , 0.8 , 2.1 , 2.3 , 7.4 , 24.5 , 100.0 , 94.7 , 5.01 , 0.36 ," 7,844,643 "
20352,San Simón Zahuatlán,SI," 4,940 ", 596 , 99.6 ," 4,925 ", 84.33 ," 4,168 ", 56.29 ," 2,782 ", 62.94 ," 3,110 ", 96.12 ," 4,750 ", 52.23 ," 2,581 ", 66.50 ," 3,286 ", 58.32 ," 2,882 ", 99.65 ," 4,925 ", 95.92 ," 4,740 ",Muy alto, 38.51 , 23.29 , 79.59 , 63.16 , 2.18 , 12.92 , 8.05 , 25.34 , 1.68 , 92.45 , 59.90 ,Muy alto, 38.6 , 79.6 , 10.0 , 1.1 , 6.2 , 2.3 , 65.6 , 100.0 , 97.0 , 2.18 , 0.17 ," 22,046,776 "
20353,Santa Ana,NO," 2,406 ", 618 , 83.9 ," 2,020 ", 30.80 , 741 , 34.12 , 821 , 31.20 , 751 , 88.44 ," 2,129 ", 17.65 , 425 , 70.28 ," 1,692 ", 28.24 , 680 , 84.01 ," 2,022 ", 46.50 ," 1,119 ",Medio, 14.44 , 4.40 , 54.96 , 30.80 , 10.68 , 1.13 , 3.40 , 38.51 , 2.27 , 72.65 , 24.92 ,Alto, 14.4 , 55.0 , 0.8 , 1.5 , 2.9 , 9.3 , 30.7 , 100.0 , 93.5 , 8.28 , 0.16 ," 6,085,147 "
20354,Santa Ana Ateixtlahuaca,SI, 477 , 141 , 97.2 , 464 , 78.51 , 375 , 48.41 , 231 , 83.86 , 400 , 78.98 , 377 , 42.89 , 205 , 75.16 , 359 , 38.43 , 183 , 98.97 , 472 , 90.67 , 432 ,Muy alto, 33.43 , 9.21 , 68.25 , 83.86 , 17.73 , 0.71 , 2.84 , 48.94 , 3.55 , 95.74 , 85.11 ,Muy alto, 33.5 , 68.4 , 0.6 , 2.7 , 2.5 , 17.1 , 35.5 , 100.0 , 97.0 , 17.73 , 5.67 ," 3,952,213 "
20355,Santa Ana Cuauhtémoc,NO, 681 , 233 , 89.6 , 610 , 37.38 , 255 , 44.02 , 300 , 9.31 , 63 , 55.54 , 378 , 27.03 , 184 , 70.16 , 478 , 49.34 , 336 , 94.33 , 642 , 71.83 , 489 ,Alto, 22.18 , 0.90 , 70.10 , 8.37 , 9.87 , 3.00 , 0.86 , 44.21 , 2.15 , 80.69 , 54.51 ,Alto, 22.2 , 70.1 , 1.5 , 2.2 , 0.3 , 11.9 , 31.8 , 100.0 , 93.6 , 8.66 , 0.43 ," 4,049,300 "
20356,Santa Ana del Valle,NO," 2,179 ", 601 , 71.6 ," 1,562 ", 23.64 , 515 , 36.31 , 792 , 61.37 ," 1,338 ", 81.03 ," 1,766 ", 17.48 , 381 , 58.67 ," 1,279 ", 16.64 , 363 , 72.40 ," 1,578 ", 33.98 , 741 ,Medio, 6.19 , 10.80 , 68.22 , 61.91 , 11.81 , 3.16 , 9.82 , 5.82 , 0.67 , 71.38 , 16.31 ,Medio, 6.2 , 68.3 , 2.1 , 0.4 , 9.8 , 10.8 , 25.5 , 100.0 , 90.9 , 0.83 , 0.33 ," 4,192,579 "
20357,Santa Ana Tavela,NO, 848 , 269 , 80.9 , 686 , 27.98 , 237 , 28.95 , 245 , 20.69 , 175 , 77.03 , 653 , 31.46 , 267 , 90.43 , 767 , 37.56 , 319 , 81.61 , 692 , 40.22 , 341 ,Alto, 7.70 , 13.41 , 58.06 , 21.11 , 14.87 , 0.74 , -   , 52.42 , 2.97 , 81.04 , 42.75 ,Medio, 7.7 , 58.1 , 0.2 , 2.7 , -   , 16.9 , 33.1 , 100.0 , 90.5 , 2.97 , -   ," 3,665,945 "
20358,Santa Ana Tlapacoyan,NO," 1,958 ", 615 , 68.0 ," 1,332 ", 20.12 , 394 , 36.51 , 715 , 44.45 , 871 , 75.31 ," 1,475 ", 26.04 , 510 , 57.16 ," 1,120 ", 33.45 , 655 , 68.90 ," 1,350 ", 28.95 , 567 ,Medio, 14.90 , 9.09 , 61.32 , 44.84 , 11.71 , 2.11 , 5.20 , 26.83 , 2.11 , 43.41 , 28.13 ,Alto, 14.9 , 61.3 , 1.0 , 1.1 , 5.6 , 12.8 , 21.1 , 100.0 , 95.3 , 15.93 , -   ," 5,992,791 "
20359,Santa Ana Yareni,NO, 637 , 233 , 91.6 , 583 , 33.83 , 215 , 38.69 , 246 , 24.52 , 156 , 73.09 , 466 , 33.92 , 216 , 76.43 , 487 , 12.26 , 78 , 92.35 , 588 , 62.33 , 397 ,Alto, 18.01 , -   , 75.42 , 24.49 , 37.77 , 1.72 , -   , 51.07 , 0.43 , 69.96 , 58.37 ,Alto, 18.0 , 75.6 , 1.3 , 0.5 , -   , 32.8 , 16.3 , 100.0 , 97.2 , -   , -   ," 3,300,076 "
20360,Santa Ana Zegache,NO," 3,981 "," 1,170 ", 74.8 ," 2,981 ", 23.11 , 921 , 26.39 ," 1,051 ", 41.50 ," 1,653 ", 73.00 ," 2,908 ", 27.74 ," 1,105 ", 82.09 ," 3,270 ", 27.61 ," 1,100 ", 76.22 ," 3,036 ", 30.52 ," 1,216 ",Medio, 13.32 , 5.33 , 49.87 , 42.33 , 17.44 , 4.27 , 10.09 , 64.19 , 1.54 , 58.29 , 32.48 ,Alto, 13.3 , 49.9 , 3.3 , 1.2 , 9.7 , 16.5 , 25.9 , 100.0 , 86.6 , 14.73 , 0.09 ," 10,300,315 "
20361,Santa Catalina Quierí,SI, 825 , 252 , 94.6 , 780 , 38.13 , 315 , 38.88 , 321 , 11.66 , 96 , 85.05 , 702 , 21.14 , 174 , 90.89 , 750 , 20.05 , 165 , 94.80 , 782 , 70.41 , 581 ,Alto, 18.99 , 5.07 , 67.05 , 11.64 , 17.86 , 3.17 , 1.19 , 36.51 , 5.56 , 92.46 , 59.92 ,Alto, 19.0 , 67.2 , 2.5 , 3.3 , 0.8 , 16.0 , 36.5 , 100.0 , 95.9 , 1.19 , -   ," 4,134,564 "
20362,Santa Catarina Cuixtla,NO," 1,495 ", 434 , 68.8 ," 1,029 ", 14.47 , 216 , 32.43 , 485 , 34.53 , 517 , 71.45 ," 1,069 ", 15.02 , 225 , 42.22 , 632 , 5.23 , 78 , 70.52 ," 1,055 ", 32.18 , 481 ,Bajo, 11.36 , 4.46 , 58.37 , 35.18 , 11.52 , 0.46 , 1.84 , 8.53 , 3.23 , 53.69 , 18.66 ,Medio, 11.4 , 58.4 , 0.2 , 3.1 , 2.1 , 11.1 , 18.0 , 100.0 , 84.6 , 1.38 , 0.69 ," 3,567,654 "
20363,Santa Catarina Ixtepeji,NO," 2,675 ", 772 , 77.2 ," 2,066 ", 18.49 , 495 , 21.13 , 565 , 40.33 ," 1,079 ", 80.35 ," 2,150 ", 18.90 , 506 , 50.91 ," 1,362 ", 11.68 , 313 , 79.40 ," 2,125 ", 39.52 ," 1,058 ",Bajo, 2.20 , 2.28 , 49.19 , 40.71 , 14.51 , 1.04 , 0.91 , 23.70 , 0.91 , 39.51 , 30.44 ,Medio, 2.2 , 49.2 , 0.9 , 0.7 , 1.0 , 14.5 , 30.2 , 100.0 , 88.5 , 1.17 , 0.13 ," 5,109,213 "
20364,Santa Catarina Juquila,NO," 18,654 "," 4,254 ", 75.6 ," 11,277 ", 24.39 ," 3,640 ", 33.78 ," 5,041 ", 35.75 ," 5,335 ", 90.20 ," 13,461 ", 27.15 ," 4,051 ", 63.30 ," 9,447 ", 22.25 ," 3,321 ", 76.14 ," 11,362 ", 37.94 ," 5,661 ",Medio, 15.27 , 7.08 , 57.01 , 24.67 , 18.59 , 1.22 , 3.20 , 27.06 , 2.23 , 63.35 , 39.05 ,Alto, 15.3 , 57.1 , 0.8 , 1.7 , 2.5 , 18.8 , 40.9 , 56.7 , 85.1 , 2.06 , 0.04 ," 31,167,739 "
20365,Santa Catarina Lachatao,NO," 1,059 ", 373 , 73.9 , 783 , 9.18 , 97 , 13.44 , 142 , 19.45 , 206 , 78.46 , 831 , 19.07 , 202 , 40.61 , 430 , 5.34 , 57 , 77.03 , 816 , 33.72 , 357 ,Medio, 3.68 , 1.25 , 48.96 , 19.74 , 16.62 , 2.14 , 4.83 , 31.90 , 1.88 , 39.14 , 46.65 ,Medio, 3.7 , 49.0 , 1.0 , 1.7 , 4.8 , 17.3 , 25.5 , 100.0 , 95.4 , 0.27 , 0.54 ," 5,248,664 "
20366,Santa Catarina Loxicha,NO," 3,676 ", 897 , 96.6 ," 3,552 ", 53.21 ," 1,957 ", 37.89 ," 1,394 ", 32.71 ," 1,203 ", 88.95 ," 3,271 ", 41.86 ," 1,539 ", 73.99 ," 2,721 ", 32.74 ," 1,204 ", 96.96 ," 3,566 ", 76.58 ," 2,817 ",Alto, 17.47 , 8.57 , 68.27 , 33.43 , 18.84 , 1.23 , 2.90 , 29.21 , 3.79 , 79.49 , 58.19 ,Alto, 17.5 , 68.3 , 0.8 , 2.6 , 2.8 , 18.5 , 45.6 , 100.0 , 91.0 , 19.62 , 1.00 ," 17,408,260 "
20367,Santa Catarina Mechoacán,NO," 4,582 "," 1,137 ", 92.5 ," 4,242 ", 48.87 ," 2,240 ", 39.91 ," 1,829 ", 22.24 ," 1,020 ", 78.18 ," 3,584 ", 29.46 ," 1,351 ", 90.29 ," 4,139 ", 51.28 ," 2,351 ", 93.46 ," 4,284 ", 63.77 ," 2,923 ",Alto, 18.19 , 7.72 , 62.36 , 22.68 , 13.37 , 7.92 , 28.06 , 8.88 , 1.93 , 91.20 , 50.22 ,Muy alto, 18.2 , 62.4 , 6.6 , 1.6 , 27.5 , 14.4 , 36.4 , 100.0 , 92.4 , 3.00 , 0.79 ," 15,778,911 "
20368,Santa Catarina Minas,NO," 2,067 ", 550 , 65.1 ," 1,346 ", 16.27 , 336 , 27.31 , 565 , 25.70 , 531 , 83.19 ," 1,720 ", 27.75 , 574 , 73.47 ," 1,519 ", 12.90 , 267 , 65.62 ," 1,357 ", 25.35 , 524 ,Medio, 11.16 , 6.50 , 48.85 , 25.69 , 13.64 , 2.36 , 13.27 , 65.45 , 0.91 , 52.55 , 27.82 ,Alto, 11.2 , 48.9 , 2.1 , 0.6 , 13.1 , 15.2 , 29.6 , 100.0 , 87.3 , 8.71 , 0.36 ," 5,425,044 "
20369,Santa Catarina Quiané,NO," 2,193 ", 655 , 43.8 , 962 , 6.74 , 148 , 24.08 , 528 , 12.65 , 277 , 68.39 ," 1,500 ", 21.76 , 477 , 34.77 , 763 , 22.32 , 490 , 45.27 , 993 , 12.87 , 282 ,Bajo, 8.54 , 3.07 , 44.94 , 13.27 , 16.95 , 1.68 , 3.82 , 11.30 , 1.07 , 32.82 , 17.86 ,Medio, 8.5 , 45.0 , 0.5 , 1.3 , 3.2 , 18.8 , 15.6 , 100.0 , 81.0 , 2.89 , -   ," 3,102,407 "
20370,Santa Catarina Tayata,NO, 662 , 207 , 76.9 , 509 , 20.24 , 134 , 13.48 , 89 , 19.45 , 129 , 51.30 , 340 , 26.34 , 174 , 83.00 , 549 , 22.66 , 150 , 78.84 , 522 , 45.58 , 302 ,Medio, 4.14 , 2.11 , 36.29 , 20.24 , 15.46 , 0.48 , 2.42 , 64.73 , 2.42 , 39.61 , 36.23 ,Bajo, 4.2 , 36.4 , 0.2 , 1.7 , 2.4 , 15.5 , 24.6 , 100.0 , 86.8 , 7.25 , 3.86 ," 2,102,822 "
20371,Santa Catarina Ticuá,NO, 986 , 351 , 93.2 , 919 , 39.71 , 392 , 27.75 , 274 , 22.30 , 220 , 73.40 , 724 , 20.31 , 200 , 73.51 , 725 , 25.97 , 256 , 96.57 , 952 , 82.02 , 809 ,Alto, 21.65 , 1.45 , 50.33 , 22.31 , 16.52 , 4.84 , 3.99 , 54.13 , 3.42 , 80.06 , 63.25 ,Alto, 21.7 , 50.5 , 2.8 , 2.5 , 4.7 , 17.3 , 21.7 , 100.0 , 92.9 , 0.29 , 0.86 ," 4,647,113 "
20372,Santa Catarina Yosonotú,NO," 1,316 ", 443 , 90.9 ," 1,198 ", 22.60 , 298 , 45.02 , 593 , 5.24 , 69 , 47.55 , 626 , 11.15 , 147 , 94.68 ," 1,247 ", 10.39 , 137 , 93.24 ," 1,228 ", 67.03 , 883 ,Muy alto, 35.39 , 2.75 , 57.86 , 5.24 , 9.93 , 3.61 , 30.93 , 62.53 , 2.26 , 91.42 , 84.88 ,Muy alto, 35.4 , 57.9 , 2.8 , 1.1 , 26.6 , 8.4 , 16.0 , 100.0 , 93.8 , 0.67 , -   ," 7,990,503 "
20373,Santa Catarina Zapoquila,NO, 403 , 126 , 93.8 , 378 , 44.64 , 180 , 24.44 , 98 , 9.73 , 39 , 79.80 , 322 , 35.66 , 144 , 81.80 , 330 , 42.14 , 170 , 94.72 , 382 , 67.89 , 274 ,Medio, 11.73 , 3.45 , 46.91 , 10.17 , 21.43 , 1.59 , 1.59 , 2.38 , 3.97 , 42.86 , 45.24 ,Alto, 11.7 , 46.9 , 1.0 , 5.5 , 2.5 , 23.9 , 32.5 , 100.0 , 98.5 , 0.79 , -   ," 2,260,606 "
20374,Santa Cruz Acatepec,SI," 1,645 ", 422 , 93.9 ," 1,546 ", 55.53 , 914 , 37.64 , 620 , 10.86 , 179 , 88.71 ," 1,460 ", 61.32 ," 1,009 ", 82.43 ," 1,357 ", 31.91 , 525 , 94.15 ," 1,550 ", 71.51 ," 1,177 ",Muy alto, 21.38 , 9.60 , 57.62 , 11.31 , 44.08 , 1.42 , 9.00 , 44.55 , 2.84 , 95.02 , 87.20 ,Muy alto, 21.4 , 57.6 , 1.3 , 1.9 , 8.6 , 44.9 , 49.8 , 100.0 , 94.9 , 32.31 , 0.94 ," 7,572,820 "
20375,Santa Cruz Amilpas,NO," 13,200 "," 3,566 ", 36.3 ," 4,160 ", 6.85 , 786 , 11.13 ," 1,276 ", 39.98 ," 4,583 ", 56.89 ," 6,522 ", 13.66 ," 1,567 ", 11.26 ," 1,291 ", 9.47 ," 1,086 ", 41.65 ," 4,775 ", 15.17 ," 1,740 ",Muy bajo, 2.66 , 3.85 , 23.62 , 32.64 , 4.96 , 0.31 , 5.24 , 1.04 , 0.31 , 36.71 , 13.29 ,Muy bajo, 2.7 , 23.8 , 0.1 , 0.3 , 5.2 , 5.1 , 21.5 , -   , 64.2 , 10.94 , 0.14 ," 7,775,979 "
20376,Santa Cruz de Bravo,NO, 365 , 100 , 75.5 , 275 , 14.62 , 53 , 36.41 , 133 , 3.36 , 12 , 76.75 , 280 , 10.36 , 38 , 65.27 , 238 , 8.68 , 32 , 76.55 , 279 , 38.43 , 140 ,Bajo, 20.90 , -   , 61.57 , 3.84 , 5.00 , 5.00 , 1.00 , 11.00 , 1.00 , 33.00 , 18.00 ,Alto, 20.9 , 61.6 , 4.7 , 0.3 , 0.3 , 4.9 , 25.0 , 100.0 , 90.2 , -   , -   ," 2,019,217 "
20377,Santa Cruz Itundujia,NO," 10,860 "," 2,984 ", 88.9 ," 9,659 ", 37.30 ," 4,052 ", 27.72 ," 3,012 ", 9.19 , 999 , 78.70 ," 8,551 ", 33.60 ," 3,651 ", 92.53 ," 10,054 ", 38.40 ," 4,172 ", 89.45 ," 9,719 ", 57.30 ," 6,226 ",Alto, 10.84 , 4.67 , 52.34 , 9.56 , 22.45 , 1.47 , 21.08 , 72.22 , 6.67 , 64.28 , 65.78 ,Alto, 10.9 , 52.4 , 1.0 , 5.2 , 20.0 , 23.0 , 37.8 , 100.0 , 94.0 , 0.37 , 2.68 ," 44,339,910 "
20378,Santa Cruz Mixtepec,NO," 3,720 ", 969 , 81.1 ," 3,017 ", 34.79 ," 1,295 ", 27.08 ," 1,008 ", 27.84 ," 1,036 ", 86.38 ," 3,215 ", 28.28 ," 1,052 ", 70.12 ," 2,610 ", 35.58 ," 1,324 ", 81.78 ," 3,044 ", 48.90 ," 1,820 ",Medio, 8.97 , 4.15 , 52.19 , 28.36 , 15.48 , 2.79 , 9.80 , 43.34 , 2.06 , 57.79 , 35.91 ,Alto, 9.0 , 52.2 , 1.6 , 2.0 , 9.8 , 17.0 , 34.1 , 100.0 , 91.6 , 4.02 , -   ," 10,562,898 "
